,食品番号,食品名,食材重量(100g),エネルギー（kcal）,たんぱく質,脂   質,飽和脂肪酸,炭水化物,カリウム,カルシウム,ビタミンB1,ビタミンB2,ビタミンC,食塩相当量
0,01047,こむぎ　［中華めん類］　中華めん　生　,2.8,786.8,24.08,3.36,0.784,155.96,979.9999999999999,58.8,0.055999999999999994,0.055999999999999994,0.0,2.8
1,06061,（キャベツ類）　キャベツ　結球葉　生　　,0.4,9.200000000000001,0.52,0.08000000000000002,0.008,2.08,80.0,17.2,0.016,0.012,16.400000000000002,0.0
2,06287,（もやし類）　だいずもやし　生　　,0.3,11.1,1.11,0.44999999999999996,0.06,0.69,48.0,6.8999999999999995,0.027,0.021,1.5,0.0
3,11119,＜畜肉類＞ぶた　［大型種肉］　かたロース　脂身つき　生　,1.1,278.3,18.810000000000002,21.12,7.986000000000001,0.11000000000000001,330.0,4.4,0.6930000000000001,0.25300000000000006,2.2,0.11000000000000001
4,14006,（植物油脂類）　調合油　　　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14016,（動物脂類）　ラード　　　,0.29,272.89,0.0,28.999999999999996,11.394099999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ　　　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17024,＜調味料類＞（だし類）鳥がらだし　　　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,17025,＜調味料類＞（だし類）中華だし　　　,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17026,＜調味料類＞（だし類）洋風だし　　　,2.0,12.0,2.6,0.0,0.0,0.6,220.0,10.0,0.04,0.1,0.0,1.0
10,,合計,6.89,1370.29,47.12,54.01,20.2321,159.44000000000003,1658.0,97.30000000000001,0.8320000000000001,0.44200000000000006,20.1,3.9099999999999997
